Algoritmo,Cenário,Acuracia,Recall_Emerg,Acuracia*Recall
RandomForest,0,0.963697,0.971332,0.936069734404
DecisionTree,0,0.95141,0.973862,0.92654204542
KNN,0,0.929349,0.929174,0.863526927726
AdaBoost,0,0.688634,0.636594,0.438380272596
SVC,0,0.334823,0.489039,0.163741505097
GaussianNB,0,0.325607,0.323777,0.105424057639
RandomForest,1,0.971237,0.902552,0.876591896824
KNN,1,0.958112,0.832947,0.798056516064
DecisionTree,1,0.956716,0.87935,0.8412882146
AdaBoost,1,0.866238,0.417633,0.361769574654
GaussianNB,1,0.788886,0,0
SVC,1,0.788886,0,0
RandomForest,2,0.963418,0.791667,0.762706237806
KNN,2,0.960905,0.74537,0.71622975985
DecisionTree,2,0.957275,0.759259,0.726819659225
AdaBoost,2,0.882156,0.060185,0.05309255886
GaussianNB,2,0.878246,0,0
SVC,2,0.878246,0,0
