Algoritmo,Cenário,Acuracia,Recall_Emerg,Acuracia*Recall
RandomForest,0,0.894443,0.927637,0.829718421191
DecisionTree,0,0.876012,0.909329,0.796583115948
AdaBoost,0,0.626641,0.576286,0.361124435326
KNN,0,0.469701,0.471665,0.221541522165
GaussianNB,0,0.334264,0.332171,0.111032807144
SVC,0,0.332589,0.617262,0.205294551318
RandomForest,1,0.900866,0.764286,0.688519271676
DecisionTree,1,0.890254,0.742857,0.661331415678
AdaBoost,1,0.810388,0.135714,0.109980997032
GaussianNB,1,0.788327,0,0
SVC,1,0.788327,0,0
KNN,1,0.771293,0.178571,0.137730562303
RandomForest,2,0.912594,0.422222,0.385317263868
DecisionTree,2,0.897794,0.488889,0.438921610866
AdaBoost,2,0.882435,0.004444,0.00392154114
GaussianNB,2,0.879922,0,0
SVC,2,0.879922,0,0
KNN,2,0.86931,0.057778,0.05022699318
