Algoritmo,Cenário,Acuracia,Recall_Emerg,Acuracia*Recall
RandomForest,0,0.971796,0.982172,0.954470820912
DecisionTree,0,0.940519,0.953809,0.897075486871
KNN,0,0.887182,0.916532,0.813130692824
AdaBoost,0,0.629154,0.795786,0.500671945044
GaussianNB,0,0.366657,0.28282,0.10369793274
SVC,0,0.330075,0.762561,0.251702322075
RandomForest,1,0.965652,0.880299,0.850062489948
DecisionTree,1,0.950852,0.880299,0.837034064748
KNN,1,0.933817,0.78803,0.73587581051
AdaBoost,1,0.822954,0.334165,0.27500242341
GaussianNB,1,0.775202,0.009975,0.00773263995
SVC,1,0.774085,0,0
RandomForest,2,0.963697,0.843066,0.812460175002
KNN,2,0.949455,0.770073,0.731149660215
DecisionTree,2,0.944987,0.726277,0.686322323399
AdaBoost,2,0.891092,0.10219,0.09106069148
GaussianNB,2,0.883552,0,0
SVC,2,0.883552,0,0
