Algoritmo,Cenário,Acuracia,Recall_Emerg,Acuracia*Recall
RandomForest,0,0.796426,0.863269,0.687529876594
DecisionTree,0,0.765429,0.822816,0.629807228064
AdaBoost,0,0.537001,0.696602,0.374075970602
KNN,0,0.383412,0.41343,0.15851402316
SVC,0,0.343759,0.892395,0.306768812805
GaussianNB,0,0.338732,0.128641,0.043574823212
RandomForest,1,0.821279,0.47619,0.39108484701
DecisionTree,1,0.783301,0.490476,0.384190341276
AdaBoost,1,0.76487,0.052381,0.04006465547
GaussianNB,1,0.759285,0,0
SVC,1,0.759285,0,0
KNN,1,0.723541,0.095238,0.068908597758
RandomForest,2,0.889416,0.1843,0.1639193688
GaussianNB,2,0.882156,0,0
SVC,2,0.882156,0,0
AdaBoost,2,0.881318,0.037543,0.033087321674
KNN,2,0.870427,0.017065,0.014853836755
DecisionTree,2,0.859257,0.354949,0.304992412893
